Node Type,Node,Node Interface,Peer Type,Peer,Peer Interface
l3leaf,POD01-LEAF1A,Ethernet1,spine,POD01-SPINE1,Ethernet3
l3leaf,POD01-LEAF1A,Ethernet2,spine,POD01-SPINE2,Ethernet3
l3leaf,POD01-LEAF1A,Ethernet3,mlag_peer,POD01-LEAF1B,Ethernet3
l3leaf,POD01-LEAF1A,Ethernet4,l2leaf,POD01-SUBLEAF1A,Ethernet1
l3leaf,POD01-LEAF1A,Ethernet5,server,server-1,Eth1
l3leaf,POD01-LEAF1B,Ethernet1,spine,POD01-SPINE1,Ethernet4
l3leaf,POD01-LEAF1B,Ethernet2,spine,POD01-SPINE2,Ethernet4
l3leaf,POD01-LEAF1B,Ethernet3,mlag_peer,POD01-LEAF1A,Ethernet3
l3leaf,POD01-LEAF1B,Ethernet4,l2leaf,POD01-SUBLEAF1A,Ethernet2
l3leaf,POD01-LEAF2A,Ethernet1,spine,POD01-SPINE1,Ethernet5
l3leaf,POD01-LEAF2A,Ethernet2,spine,POD01-SPINE2,Ethernet5
l3leaf,POD01-LEAF2A,Ethernet3,mlag_peer,POD01-LEAF2B,Ethernet3
l3leaf,POD01-LEAF2A,Ethernet4,overlay_controller,ROUTE-SERVER1,Ethernet1
l3leaf,POD01-LEAF2B,Ethernet1,spine,POD01-SPINE1,Ethernet6
l3leaf,POD01-LEAF2B,Ethernet2,spine,POD01-SPINE2,Ethernet6
l3leaf,POD01-LEAF2B,Ethernet3,mlag_peer,POD01-LEAF2A,Ethernet3
l3leaf,POD01-LEAF2B,Ethernet4,overlay_controller,ROUTE-SERVER1,Ethernet2
spine,POD01-SPINE1,Ethernet1,super-spine,SUPER-SPINE1,Ethernet1
spine,POD01-SPINE1,Ethernet2,super-spine,SUPER-SPINE2,Ethernet1
spine,POD01-SPINE1,Ethernet3,l3leaf,POD01-LEAF1A,Ethernet1
spine,POD01-SPINE1,Ethernet4,l3leaf,POD01-LEAF1B,Ethernet1
spine,POD01-SPINE1,Ethernet5,l3leaf,POD01-LEAF2A,Ethernet1
spine,POD01-SPINE1,Ethernet6,l3leaf,POD01-LEAF2B,Ethernet1
spine,POD01-SPINE2,Ethernet1,super-spine,SUPER-SPINE1,Ethernet2
spine,POD01-SPINE2,Ethernet2,super-spine,SUPER-SPINE2,Ethernet2
spine,POD01-SPINE2,Ethernet3,l3leaf,POD01-LEAF1A,Ethernet2
spine,POD01-SPINE2,Ethernet4,l3leaf,POD01-LEAF1B,Ethernet2
spine,POD01-SPINE2,Ethernet5,l3leaf,POD01-LEAF2A,Ethernet2
spine,POD01-SPINE2,Ethernet6,l3leaf,POD01-LEAF2B,Ethernet2
l2leaf,POD01-SUBLEAF1A,Ethernet1,l3leaf,POD01-LEAF1A,Ethernet4
l2leaf,POD01-SUBLEAF1A,Ethernet2,l3leaf,POD01-LEAF1B,Ethernet4
l3leaf,POD02-LEAF3A,Ethernet1,spine,POD02-SPINE3,Ethernet3
l3leaf,POD02-LEAF3A,Ethernet2,spine,POD02-SPINE4,Ethernet3
l3leaf,POD02-LEAF3A,Ethernet3,mlag_peer,POD02-LEAF3B,Ethernet3
l3leaf,POD02-LEAF3A,Ethernet4,l2leaf,POD02-SUBLEAF2A,Ethernet1
l3leaf,POD02-LEAF3B,Ethernet1,spine,POD02-SPINE3,Ethernet4
l3leaf,POD02-LEAF3B,Ethernet2,spine,POD02-SPINE4,Ethernet4
l3leaf,POD02-LEAF3B,Ethernet3,mlag_peer,POD02-LEAF3A,Ethernet3
l3leaf,POD02-LEAF3B,Ethernet4,l2leaf,POD02-SUBLEAF2A,Ethernet2
l3leaf,POD02-LEAF4A,Ethernet1,spine,POD02-SPINE3,Ethernet5
l3leaf,POD02-LEAF4A,Ethernet2,spine,POD02-SPINE4,Ethernet5
spine,POD02-SPINE3,Ethernet1,super-spine,SUPER-SPINE1,Ethernet3
spine,POD02-SPINE3,Ethernet2,super-spine,SUPER-SPINE2,Ethernet3
spine,POD02-SPINE3,Ethernet3,l3leaf,POD02-LEAF3A,Ethernet1
spine,POD02-SPINE3,Ethernet4,l3leaf,POD02-LEAF3B,Ethernet1
spine,POD02-SPINE3,Ethernet5,l3leaf,POD02-LEAF4A,Ethernet1
spine,POD02-SPINE4,Ethernet1,super-spine,SUPER-SPINE1,Ethernet4
spine,POD02-SPINE4,Ethernet2,super-spine,SUPER-SPINE2,Ethernet4
spine,POD02-SPINE4,Ethernet3,l3leaf,POD02-LEAF3A,Ethernet2
spine,POD02-SPINE4,Ethernet4,l3leaf,POD02-LEAF3B,Ethernet2
spine,POD02-SPINE4,Ethernet5,l3leaf,POD02-LEAF4A,Ethernet2
l2leaf,POD02-SUBLEAF2A,Ethernet1,l3leaf,POD02-LEAF3A,Ethernet4
l2leaf,POD02-SUBLEAF2A,Ethernet2,l3leaf,POD02-LEAF3B,Ethernet4
overlay-controller,ROUTE-SERVER1,Ethernet1,l3leaf,POD01-LEAF2A,Ethernet4
overlay-controller,ROUTE-SERVER1,Ethernet2,l3leaf,POD01-LEAF2B,Ethernet4
