Node Type,Node,Node Interface,Peer Type,Peer,Peer Interface
spine,POD01-SPINE1,Ethernet1,super-spine,SUPER-SPINE1,Ethernet1
spine,POD01-SPINE1,Ethernet2,super-spine,SUPER-SPINE2,Ethernet1
spine,POD01-SPINE1,Ethernet3,l3leaf,POD01-LEAF1A,Ethernet1
spine,POD01-SPINE1,Ethernet4,l3leaf,POD01-LEAF1B,Ethernet1
spine,POD01-SPINE1,Ethernet5,l3leaf,POD01-LEAF2A,Ethernet1
spine,POD01-SPINE1,Ethernet6,l3leaf,POD01-LEAF2B,Ethernet1
spine,POD01-SPINE2,Ethernet1,super-spine,SUPER-SPINE1,Ethernet2
spine,POD01-SPINE2,Ethernet2,super-spine,SUPER-SPINE2,Ethernet2
spine,POD01-SPINE2,Ethernet3,l3leaf,POD01-LEAF1A,Ethernet2
spine,POD01-SPINE2,Ethernet4,l3leaf,POD01-LEAF1B,Ethernet2
spine,POD01-SPINE2,Ethernet5,l3leaf,POD01-LEAF2A,Ethernet2
spine,POD01-SPINE2,Ethernet6,l3leaf,POD01-LEAF2B,Ethernet2
l3leaf,POD01-LEAF1A,Ethernet1,spine,POD01-SPINE1,Ethernet3
l3leaf,POD01-LEAF1A,Ethernet2,spine,POD01-SPINE2,Ethernet3
l3leaf,POD01-LEAF1A,Ethernet3,mlag_peer,POD01-LEAF1B,Ethernet3
l3leaf,POD01-LEAF1A,Ethernet4,l2leaf,POD01-SUBLEAF1A,Ethernet1
l3leaf,POD01-LEAF1A,Ethernet5,server,server-1,Eth1
l3leaf,POD01-LEAF1B,Ethernet1,spine,POD01-SPINE1,Ethernet4
l3leaf,POD01-LEAF1B,Ethernet2,spine,POD01-SPINE2,Ethernet4
l3leaf,POD01-LEAF1B,Ethernet3,mlag_peer,POD01-LEAF1A,Ethernet3
l3leaf,POD01-LEAF1B,Ethernet4,l2leaf,POD01-SUBLEAF1A,Ethernet2
l3leaf,POD01-LEAF2A,Ethernet1,spine,POD01-SPINE1,Ethernet5
l3leaf,POD01-LEAF2A,Ethernet2,spine,POD01-SPINE2,Ethernet5
l3leaf,POD01-LEAF2A,Ethernet3,mlag_peer,POD01-LEAF2B,Ethernet3
l3leaf,POD01-LEAF2A,Ethernet4,overlay_controller,ROUTE-SERVER1,Ethernet1
l3leaf,POD01-LEAF2B,Ethernet1,spine,POD01-SPINE1,Ethernet6
l3leaf,POD01-LEAF2B,Ethernet2,spine,POD01-SPINE2,Ethernet6
l3leaf,POD01-LEAF2B,Ethernet3,mlag_peer,POD01-LEAF2A,Ethernet3
l3leaf,POD01-LEAF2B,Ethernet4,overlay_controller,ROUTE-SERVER1,Ethernet2
l2leaf,POD01-SUBLEAF1A,Ethernet1,l3leaf,POD01-LEAF1A,Ethernet4
l2leaf,POD01-SUBLEAF1A,Ethernet2,l3leaf,POD01-LEAF1B,Ethernet4
